Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-24 03:25:00+00:00,365.0,365.0,365.0,365.0,2297,0.0,0.0
2025-03-24 03:30:00+00:00,365.5,365.5,365.5,365.5,1102,0.0,0.0
2025-03-24 03:40:00+00:00,364.5,364.5,364.5,364.5,1012,0.0,0.0
2025-03-24 03:45:00+00:00,364.5,364.5,364.5,364.5,1006,0.0,0.0
2025-03-24 03:50:00+00:00,364.5,365.5,364.5,365.5,2031,0.0,0.0
2025-03-24 03:55:00+00:00,365.5,365.5,365.5,365.5,1007,0.0,0.0
2025-03-24 04:00:00+00:00,364.5,364.5,364.5,364.5,1366,0.0,0.0
2025-03-24 04:15:00+00:00,365.5,365.5,365.5,365.5,1000,0.0,0.0
2025-03-24 04:20:00+00:00,364.0,364.0,363.5,363.5,4115,0.0,0.0
2025-03-24 04:25:00+00:00,364.0,364.0,363.0,363.0,15361,0.0,0.0
2025-03-24 04:30:00+00:00,364.0,364.0,364.0,364.0,1000,0.0,0.0
2025-03-24 04:35:00+00:00,364.0,364.0,364.0,364.0,1031,0.0,0.0
2025-03-24 04:40:00+00:00,363.5,364.0,363.5,364.0,2048,0.0,0.0
2025-03-24 04:50:00+00:00,364.0,364.0,364.0,364.0,1235,0.0,0.0
2025-03-24 04:55:00+00:00,364.5,364.5,363.0,363.0,6163,0.0,0.0
2025-03-24 05:00:00+00:00,362.5,363.5,362.5,363.5,8649,0.0,0.0
2025-03-24 05:05:00+00:00,363.5,365.0,363.5,364.0,4010,0.0,0.0
2025-03-24 05:20:00+00:00,363.5,363.5,363.0,363.5,5505,0.0,0.0
2025-03-25 01:00:00+00:00,365.0,365.5,365.0,365.5,3000,0.0,0.0
2025-03-25 01:05:00+00:00,365.5,365.5,365.5,365.5,2067,0.0,0.0
2025-03-25 01:10:00+00:00,366.0,366.0,366.0,366.0,1157,0.0,0.0
2025-03-25 01:30:00+00:00,365.0,365.0,364.5,364.5,2031,0.0,0.0
2025-03-25 01:35:00+00:00,364.0,364.0,364.0,364.0,1204,0.0,0.0
2025-03-25 01:40:00+00:00,364.0,364.0,364.0,364.0,2865,0.0,0.0
2025-03-25 01:50:00+00:00,364.0,364.0,363.5,363.5,2103,0.0,0.0
2025-03-25 02:00:00+00:00,363.0,363.0,363.0,363.0,1473,0.0,0.0
2025-03-25 02:10:00+00:00,362.0,362.0,362.0,362.0,1980,0.0,0.0
2025-03-25 02:25:00+00:00,362.0,362.0,362.0,362.0,1451,0.0,0.0
2025-03-25 02:30:00+00:00,361.5,361.5,361.5,361.5,1260,0.0,0.0
2025-03-25 02:45:00+00:00,362.0,362.0,362.0,362.0,1143,0.0,0.0
2025-03-25 02:50:00+00:00,361.5,361.5,361.5,361.5,2325,0.0,0.0
2025-03-25 03:10:00+00:00,362.0,362.5,362.0,362.5,2056,0.0,0.0
2025-03-25 03:20:00+00:00,362.0,362.5,362.0,362.5,3477,0.0,0.0
2025-03-25 03:25:00+00:00,362.5,362.5,362.5,362.5,2053,0.0,0.0
2025-03-25 03:50:00+00:00,362.0,362.5,362.0,362.5,3075,0.0,0.0
2025-03-25 04:05:00+00:00,362.0,362.0,362.0,362.0,1604,0.0,0.0
2025-03-25 04:15:00+00:00,362.0,362.5,362.0,362.5,3188,0.0,0.0
2025-03-25 04:20:00+00:00,362.5,362.5,362.5,362.5,1014,0.0,0.0
2025-03-25 04:25:00+00:00,362.5,362.5,362.5,362.5,1517,0.0,0.0
2025-03-25 04:45:00+00:00,362.5,363.0,362.5,363.0,4481,0.0,0.0
2025-03-25 05:00:00+00:00,362.5,362.5,362.0,362.5,12075,0.0,0.0
2025-03-25 05:05:00+00:00,362.5,362.5,362.0,362.0,2039,0.0,0.0
2025-03-25 05:10:00+00:00,362.5,363.0,362.5,363.0,2708,0.0,0.0
2025-03-25 05:15:00+00:00,363.0,363.0,363.0,363.0,1159,0.0,0.0
2025-03-25 05:20:00+00:00,362.5,363.0,362.5,363.0,3128,0.0,0.0
2025-03-26 01:00:00+00:00,365.5,365.5,365.0,365.0,0,0.0,0.0
2025-03-26 01:05:00+00:00,364.5,364.5,364.5,364.5,1069,0.0,0.0
2025-03-26 01:10:00+00:00,363.5,364.5,362.5,362.5,8326,0.0,0.0
2025-03-26 01:20:00+00:00,362.5,362.5,362.5,362.5,1609,0.0,0.0
2025-03-26 01:25:00+00:00,362.5,362.5,362.5,362.5,3393,0.0,0.0
2025-03-26 01:35:00+00:00,362.5,362.5,362.5,362.5,1058,0.0,0.0
2025-03-26 01:45:00+00:00,362.0,362.0,362.0,362.0,5226,0.0,0.0
2025-03-26 01:50:00+00:00,361.5,361.5,361.0,361.0,7347,0.0,0.0
2025-03-26 01:55:00+00:00,361.0,362.0,360.5,362.0,13577,0.0,0.0
2025-03-26 02:00:00+00:00,362.0,362.0,362.0,362.0,1041,0.0,0.0
2025-03-26 02:10:00+00:00,362.5,362.5,362.5,362.5,1139,0.0,0.0
2025-03-26 02:15:00+00:00,361.0,362.0,357.5,358.0,69757,0.0,0.0
2025-03-26 02:20:00+00:00,358.5,359.5,357.5,358.5,20174,0.0,0.0
2025-03-26 02:25:00+00:00,360.0,361.0,360.0,361.0,5286,0.0,0.0
2025-03-26 02:30:00+00:00,361.0,361.0,361.0,361.0,1108,0.0,0.0
2025-03-26 02:35:00+00:00,360.0,360.0,358.0,359.5,9024,0.0,0.0
2025-03-26 02:40:00+00:00,358.5,358.5,358.5,358.5,4573,0.0,0.0
2025-03-26 02:45:00+00:00,359.5,359.5,359.5,359.5,1222,0.0,0.0
2025-03-26 02:50:00+00:00,361.5,361.5,361.5,361.5,1117,0.0,0.0
2025-03-26 03:00:00+00:00,361.0,361.0,360.0,360.0,4191,0.0,0.0
2025-03-26 03:05:00+00:00,360.5,360.5,360.5,360.5,3126,0.0,0.0
2025-03-26 03:10:00+00:00,361.5,361.5,361.5,361.5,1006,0.0,0.0
2025-03-26 03:20:00+00:00,361.0,361.0,360.0,360.0,5398,0.0,0.0
2025-03-26 03:25:00+00:00,360.5,360.5,360.5,360.5,1038,0.0,0.0
2025-03-26 03:35:00+00:00,361.0,361.0,359.5,359.5,6363,0.0,0.0
2025-03-26 03:40:00+00:00,360.0,360.0,360.0,360.0,1014,0.0,0.0
2025-03-26 03:45:00+00:00,361.0,361.0,361.0,361.0,1000,0.0,0.0
2025-03-26 03:50:00+00:00,360.0,360.5,360.0,360.5,3008,0.0,0.0
2025-03-26 03:55:00+00:00,360.5,361.0,360.5,361.0,8095,0.0,0.0
2025-03-26 04:00:00+00:00,361.5,361.5,361.5,361.5,2264,0.0,0.0
2025-03-26 04:05:00+00:00,361.5,361.5,361.5,361.5,1000,0.0,0.0
2025-03-26 04:10:00+00:00,361.5,361.5,361.0,361.5,8752,0.0,0.0
2025-03-26 04:30:00+00:00,361.0,361.0,360.5,360.5,15908,0.0,0.0
2025-03-26 04:45:00+00:00,361.5,361.5,361.5,361.5,2733,0.0,0.0
2025-03-26 04:50:00+00:00,360.0,360.0,360.0,360.0,5392,0.0,0.0
2025-03-26 05:00:00+00:00,360.5,361.0,360.0,361.0,6005,0.0,0.0
2025-03-26 05:05:00+00:00,361.0,361.0,361.0,361.0,1068,0.0,0.0
2025-03-26 05:10:00+00:00,360.5,361.0,360.5,361.0,3465,0.0,0.0
2025-03-26 05:20:00+00:00,361.0,362.0,361.0,362.0,11096,0.0,0.0
2025-03-27 01:00:00+00:00,362.0,362.0,361.0,361.0,0,0.0,0.0
2025-03-27 01:05:00+00:00,361.0,361.0,359.0,359.0,4182,0.0,0.0
2025-03-27 01:10:00+00:00,359.0,361.5,359.0,361.5,9152,0.0,0.0
2025-03-27 01:15:00+00:00,361.5,362.0,361.5,362.0,2065,0.0,0.0
2025-03-27 01:20:00+00:00,362.0,365.0,362.0,363.0,13986,0.0,0.0
2025-03-27 01:25:00+00:00,362.5,362.5,362.5,362.5,1183,0.0,0.0
2025-03-27 01:30:00+00:00,362.5,363.0,362.5,363.0,2003,0.0,0.0
2025-03-27 01:35:00+00:00,363.0,363.0,363.0,363.0,1002,0.0,0.0
2025-03-27 01:40:00+00:00,363.0,363.0,363.0,363.0,1102,0.0,0.0
2025-03-27 01:45:00+00:00,363.0,365.0,363.0,365.0,32919,0.0,0.0
2025-03-27 01:50:00+00:00,365.0,365.0,365.0,365.0,2036,0.0,0.0
2025-03-27 01:55:00+00:00,365.0,365.0,364.0,364.5,4258,0.0,0.0
2025-03-27 02:00:00+00:00,364.0,364.5,364.0,364.5,2058,0.0,0.0
2025-03-27 02:05:00+00:00,364.0,364.5,364.0,364.0,3461,0.0,0.0
2025-03-27 02:25:00+00:00,363.5,363.5,363.5,363.5,5146,0.0,0.0
2025-03-27 02:35:00+00:00,363.0,363.5,362.0,363.5,9529,0.0,0.0
2025-03-27 02:50:00+00:00,363.5,363.5,363.5,363.5,1003,0.0,0.0
2025-03-27 02:55:00+00:00,362.0,362.0,362.0,362.0,1029,0.0,0.0
2025-03-27 03:00:00+00:00,361.5,363.5,361.5,361.5,4107,0.0,0.0
2025-03-27 03:05:00+00:00,361.5,361.5,361.5,361.5,1175,0.0,0.0
2025-03-27 03:10:00+00:00,361.5,362.5,361.5,362.5,2055,0.0,0.0
2025-03-27 03:15:00+00:00,361.5,361.5,361.5,361.5,1339,0.0,0.0
2025-03-27 03:20:00+00:00,361.5,363.0,361.5,363.0,3119,0.0,0.0
2025-03-27 03:30:00+00:00,361.5,361.5,361.5,361.5,1003,0.0,0.0
2025-03-27 03:35:00+00:00,362.0,362.0,362.0,362.0,1008,0.0,0.0
2025-03-27 03:40:00+00:00,361.5,361.5,361.5,361.5,1202,0.0,0.0
2025-03-27 03:45:00+00:00,361.5,361.5,361.5,361.5,1087,0.0,0.0
2025-03-27 04:00:00+00:00,361.5,361.5,361.5,361.5,1448,0.0,0.0
2025-03-27 04:05:00+00:00,362.5,363.0,361.5,361.5,5282,0.0,0.0
2025-03-27 04:20:00+00:00,361.5,361.5,361.5,361.5,1360,0.0,0.0
2025-03-27 04:35:00+00:00,362.0,362.0,362.0,362.0,1229,0.0,0.0
2025-03-27 04:40:00+00:00,362.5,362.5,362.5,362.5,1015,0.0,0.0
2025-03-27 04:45:00+00:00,361.5,362.5,361.5,361.5,3536,0.0,0.0
2025-03-27 04:50:00+00:00,361.5,361.5,361.5,361.5,2000,0.0,0.0
2025-03-27 04:55:00+00:00,361.5,363.0,361.5,361.5,8051,0.0,0.0
2025-03-27 05:00:00+00:00,362.0,362.0,361.5,361.5,9747,0.0,0.0
2025-03-27 05:05:00+00:00,362.0,362.5,362.0,362.0,11058,0.0,0.0
2025-03-27 05:10:00+00:00,362.0,362.5,362.0,362.0,6066,0.0,0.0
2025-03-27 05:15:00+00:00,362.0,362.0,362.0,362.0,8201,0.0,0.0
2025-03-27 05:20:00+00:00,362.0,362.5,361.5,362.5,7287,0.0,0.0
2025-03-28 01:00:00+00:00,365.0,365.0,360.5,360.5,0,0.0,0.0
2025-03-28 01:05:00+00:00,360.0,363.0,360.0,361.5,8493,0.0,0.0
2025-03-28 01:20:00+00:00,362.0,363.5,361.0,361.0,9068,0.0,0.0
2025-03-28 01:25:00+00:00,361.0,362.5,360.0,362.5,13582,0.0,0.0
2025-03-28 01:35:00+00:00,361.0,362.5,360.0,362.0,12382,0.0,0.0
